1.220,40.5,19
1.441,41.25,20.5
1.827,41.75,22
2.165,42.75,23
2.496,43.25,24.5
2.954,44.25,25.5
3.216,45.25,26.5
3.365,45.25,26.5
3.436,45.25,26.5
3.682,46.7,27
3.897,48,27.25
4.092,48.8,27.8
4.416,49.9,28.8
4.575,50.5,29.5
4.805,51.3,30.8
5.043,52,31.7
5.3,52.75,32
5.721,54,32.5
